motif,good_count,good_support,bad_count,bad_support,manual_count,manual_support,good_minus_bad,bad_minus_good,shared_strength,manual_alignment,group
proxy:orbit_or_seal_field,229,0.4225092250922509,1001,0.2528416266734024,6,0.046875,0.16966759841884854,-0.16966759841884854,0.2528416266734024,0.046875,good_enriched
capacity:Sb1_CC1_C1,108,0.1992619926199262,426,0.10760293003283658,5,0.0390625,0.09165906258708961,-0.09165906258708961,0.10760293003283658,0.0390625,good_enriched
orient:axisb0_diagb3_curveb3,225,0.4151291512915129,1343,0.33922707754483455,9,0.0703125,0.07590207374667834,-0.07590207374667834,0.33922707754483455,0.0703125,good_enriched
proxy:nested_or_multi_cycle,114,0.21033210332103322,541,0.13665066936094974,3,0.0234375,0.07368143396008348,-0.07368143396008348,0.13665066936094974,0.0234375,good_enriched
capacity:Sb1_CC1_C2,66,0.12177121771217712,193,0.04874968426370296,1,0.0078125,0.07302153344847417,-0.07302153344847417,0.04874968426370296,0.0078125,good_enriched
role:maxD5_B4_portb4,106,0.19557195571955718,504,0.12730487496842638,0,0.0,0.0682670807511308,-0.0682670807511308,0.12730487496842638,0.0,good_enriched
orient:axisb1_diagb2_curveb3,109,0.2011070110701107,543,0.13715584743622128,5,0.0390625,0.06395116363388942,-0.06395116363388942,0.13715584743622128,0.0390625,good_enriched
role:maxD4_B4_portb4,86,0.15867158671586715,402,0.10154079312957817,1,0.0078125,0.057130793586288975,-0.057130793586288975,0.10154079312957817,0.0078125,good_enriched
proxy:vertical_spine_branching,98,0.18081180811808117,495,0.12503157362970446,9,0.0703125,0.05578023448837671,-0.05578023448837671,0.12503157362970446,0.0703125,good_enriched
relhist:E4_T0_X1_C2,42,0.07749077490774908,97,0.024501136650669362,0,0.0,0.052989638257079724,-0.052989638257079724,0.024501136650669362,0.0,good_enriched
field:spineb1_enclb3_interb1,42,0.07749077490774908,105,0.026521848951755495,2,0.015625,0.05096892595599359,-0.05096892595599359,0.026521848951755495,0.015625,good_enriched
relhist:E4_T0_X1_C1,50,0.09225092250922509,166,0.041929780247537254,1,0.0078125,0.05032114226168784,-0.05032114226168784,0.041929780247537254,0.0078125,good_enriched
relhist:E4_T0_X1_C0,40,0.07380073800738007,102,0.025764081838848193,0,0.0,0.04803665616853188,-0.04803665616853188,0.025764081838848193,0.0,good_enriched
field:spineb1_enclb0_interb1,42,0.07749077490774908,121,0.03056327355392776,17,0.1328125,0.04692750135382132,-0.04692750135382132,0.03056327355392776,0.1328125,good_enriched
capacity:Sb0_CC1_C0,62,0.11439114391143912,289,0.07299823187673656,92,0.71875,0.041392912034702564,-0.041392912034702564,0.07299823187673656,0.71875,good_enriched
field:spineb0_enclb0_interb1,51,0.0940959409594096,218,0.05506441020459712,5,0.0390625,0.03903153075481248,-0.03903153075481248,0.05506441020459712,0.0390625,good_enriched
