good_hits,bad_hits,cleaned_hits,manual_hits,good_support,bad_support,cleaned_support,manual_support,precision_vs_bad_support,lift_good_vs_bad,orthogonality,candidate_features,nearest_old_rule_by_token,max_old_token_jaccard,nearest_old_rule_by_coverage,max_old_coverage_jaccard,score,predicate,role,kind,specificity_v5
229,1001,189,6,0.4225092250922509,0.2528416266734024,0.5192307692307693,0.046875,0.1861788617886179,1.6710429765070551,1.0,['motif:proxy:orbit_or_seal_field'],,0.0,,0.0,0.4594619258212056,motif:proxy:orbit_or_seal_field,strict_positive_ingredient,orbit_seal,0.55
114,541,195,3,0.21033210332103322,0.13665066936094974,0.5357142857142857,0.0234375,0.17404580152671756,1.539195554368383,1.0,['motif:proxy:nested_or_multi_cycle'],,0.0,,0.0,0.39775904760698055,motif:proxy:nested_or_multi_cycle,strict_positive_ingredient,nested_portal,0.92
207,1072,95,1,0.38191881918819187,0.2707754483455418,0.260989010989011,0.0078125,0.16184519155590305,1.410463249571854,1.0,['port_count_proxy'],,0.0,,0.0,0.392173859374519,port_count_proxy>=18,strict_positive_ingredient,semantic_topology,0.5
108,426,14,5,0.1992619926199262,0.10760293003283658,0.038461538461538464,0.0390625,0.20224719101123595,1.8518268202110455,1.0,['motif:capacity:Sb1_CC1_C1'],,0.0,,0.0,0.3383604387612962,motif:capacity:Sb1_CC1_C1,strict_positive_ingredient,semantic_topology,0.5
106,504,51,0,0.19557195571955718,0.12730487496842638,0.1401098901098901,0.0,0.1737704918032787,1.536248751132377,1.0,['motif:role:maxD5_B4_portb4'],,0.0,,0.0,0.33711961278107466,motif:role:maxD5_B4_portb4,strict_positive_ingredient,role_port_motif,0.78
66,193,34,1,0.12177121771217712,0.04874968426370296,0.09340659340659341,0.0078125,0.2548262548262548,2.4978872797532303,1.0,['motif:capacity:Sb1_CC1_C2'],,0.0,,0.0,0.3368292601288655,motif:capacity:Sb1_CC1_C2,strict_positive_ingredient,semantic_topology,0.5
42,105,41,2,0.07749077490774908,0.026521848951755495,0.11263736263736264,0.015625,0.2857142857142857,2.921771145252254,1.0,['motif:field:spineb1_enclb3_interb1'],,0.0,,0.0,0.332294066990805,motif:field:spineb1_enclb3_interb1,strict_positive_ingredient,enclosure_field,0.86
98,495,41,9,0.18081180811808117,0.12503157362970446,0.11263736263736264,0.0703125,0.16526138279932545,1.4461291849964808,1.0,['motif:proxy:vertical_spine_branching'],,0.0,,0.0,0.32989835784592125,motif:proxy:vertical_spine_branching,strict_positive_ingredient,spine_branch,0.78
86,402,44,1,0.15867158671586715,0.10154079312957817,0.12087912087912088,0.0078125,0.1762295081967213,1.5626388298025644,1.0,['motif:role:maxD4_B4_portb4'],,0.0,,0.0,0.3266090144863206,motif:role:maxD4_B4_portb4,strict_positive_ingredient,role_port_motif,0.78
42,97,14,0,0.07749077490774908,0.024501136650669362,0.038461538461538464,0.0,0.302158273381295,3.1627419515204456,1.0,['motif:relhist:E4_T0_X1_C2'],,0.0,,0.0,0.3245784973225989,motif:relhist:E4_T0_X1_C2,strict_positive_ingredient,relation_motif,0.86
42,121,17,17,0.07749077490774908,0.03056327355392776,0.046703296703296704,0.1328125,0.25766871165644173,2.535421254388809,1.0,['motif:field:spineb1_enclb0_interb1'],,0.0,,0.0,0.32375308855692875,motif:field:spineb1_enclb0_interb1,strict_positive_ingredient,enclosure_field,0.86
44,181,58,7,0.08118081180811808,0.04571861581207375,0.15934065934065933,0.0546875,0.19555555555555557,1.775662049046925,1.0,['motif:proxy:interlocked_ports'],,0.0,,0.0,0.32050215867956305,motif:proxy:interlocked_ports,strict_positive_ingredient,interlock_port,0.92
40,102,6,0,0.07380073800738007,0.025764081838848193,0.016483516483516484,0.0,0.28169014084507044,2.864481513624857,1.0,['motif:relhist:E4_T0_X1_C0'],,0.0,,0.0,0.31571575095476845,motif:relhist:E4_T0_X1_C0,strict_positive_ingredient,relation_motif,0.86
50,166,13,1,0.09225092250922509,0.041929780247537254,0.03571428571428571,0.0078125,0.23148148148148148,2.2001289003777824,1.0,['motif:relhist:E4_T0_X1_C1'],,0.0,,0.0,0.3131533113416983,motif:relhist:E4_T0_X1_C1,strict_positive_ingredient,relation_motif,0.86
30,120,13,1,0.055350553505535055,0.030310684516291993,0.03571428571428571,0.0078125,0.2,1.8261069838154644,1.0,['motif:role:maxD3_B3_portb4'],,0.0,,0.0,0.2942305855673327,motif:role:maxD3_B3_portb4,strict_positive_ingredient,role_port_motif,0.78
28,119,12,6,0.05166051660516605,0.030058095478656226,0.03296703296703297,0.046875,0.19047619047619047,1.718688927685403,1.0,['motif:proxy:ring_core_spine_ports'],,0.0,,0.0,0.2928588459863053,motif:proxy:ring_core_spine_ports,strict_positive_ingredient,ring_core_spine_port,1.0
29,151,24,6,0.05350553505535055,0.038140944683000756,0.06593406593406594,0.046875,0.16111111111111112,1.4028371635053014,1.0,['motif:role:maxD3_B1_portb3'],,0.0,,0.0,0.29045071305767023,motif:role:maxD3_B1_portb3,strict_positive_ingredient,role_port_motif,0.78
30,162,21,1,0.055350553505535055,0.04091942409699419,0.057692307692307696,0.0078125,0.15625,1.3526718514332432,1.0,['motif:role:maxD4_B3_portb4'],,0.0,,0.0,0.2860377119784311,motif:role:maxD4_B3_portb4,strict_positive_ingredient,role_port_motif,0.78
84,798,18,6,0.15498154981549817,0.20156605203334174,0.04945054945054945,0.046875,0.09523809523809523,0.7688871637024223,1.0,['motif:relhist:E4_T0_X0_C1'],,0.0,,0.0,0.28557585104010386,motif:relhist:E4_T0_X0_C1,strict_positive_ingredient,relation_motif,0.86
39,280,4,3,0.07195571955719557,0.07072493053801465,0.01098901098901099,0.0234375,0.12225705329153605,1.0174024773501458,1.0,['motif:field:spineb1_enclb2_interb0'],,0.0,,0.0,0.2724186343550833,motif:field:spineb1_enclb2_interb0,strict_positive_ingredient,enclosure_field,0.86
27,71,12,1,0.04981549815498155,0.01793382167213943,0.03296703296703297,0.0078125,0.2755102040816326,2.777740143063362,1.0,['motif:field:spineb1_enclb2_interb1'],,0.0,,0.0,0.24473050634857324,motif:field:spineb1_enclb2_interb1,strict_positive_ingredient,enclosure_field,0.86
